Version: Taxi Continuous/Discontinuous v4.1.9723.39829
TriggerVersion: v4
TaskType: Discontinuous
MazeName: DTL Cam
NumberOfTrials: 1
PosterLocations: 
name: Poster
posterPosition: (-7.567, 1.5, 4.975)
CompletionWindow: 60000
TimeoutDuration: 3000
IntersessionInterval: 1000
RewardTime: 1000
RewardViewCriteria: 45
RotationSpeed: 104.5476
MovementSpeed: 5
JoystickDeadzone: 0
AngleRestrictionAmount: 0
RequiredDistance: 1
ProximityDistance: 1
DirectionErrorDistance: 0.5
isJoystickEnabled: False
isReverseEnabled: True
isForwardEnabled: True
isRightEnabled: True
isLeftEnabled: True
isYInverted: False
isXInverted: False
RestartOnTrialFail: True
ResetPositionOnTrial: True
FaceRandomDirectionOnStart: False
MultipleWaypoints: False
DisableInterSessionBlackout: True
ResetPositionOnSession: False
EnableDirectionError: False
DisableHint: False
EnableRewardAreaError: False
RewardAreaErrorTime: -1
--- Start of Dataset --- 
 0 0.01732660 -6.0789 -0.9050 138.7506
 0 0.01757480 -6.0231 -0.9729 140.5880
 0 0.01671470 -5.9721 -1.0391 142.3355
 0 0.01706730 -5.9221 -1.1082 144.1198
 0 0.01561900 -5.8781 -1.1728 145.7527
 0 0.01645020 -5.8339 -1.2421 147.4726
 0 0.01489000 -5.7956 -1.3060 149.0293
 0 0.01784090 -5.7522 -1.3839 150.8945
 0 0.01713650 -5.7129 -1.4600 152.6861
 0 0.01725140 -5.6757 -1.4628 154.4897
 0 0.01551350 -5.6443 -1.4628 156.1116
 0 0.01751200 -5.6089 -1.4628 156.1116
 0 0.01526430 -5.5779 -1.4628 156.1116
 0 0.01799770 -5.5415 -1.4628 156.1116
 0 0.01787750 -5.5415 -1.4628 156.1116
 0 0.01602970 -5.5415 -1.4628 156.1116
 0 0.01651910 -5.5415 -1.4628 156.1116
 0 0.01508520 -5.5415 -1.4628 156.1116
 0 0.01808830 -5.5415 -1.4628 156.1116
 0 0.01690830 -5.5415 -1.4628 156.1116
 0 0.01646810 -5.5415 -1.4628 156.1116
 0 0.01658280 -5.5415 -1.4628 156.1116
 0 0.01602140 -5.5415 -1.4628 156.1116
 0 0.01625120 -5.5415 -1.4628 156.1116
 0 0.01461350 -5.5415 -1.4628 156.1116
 0 0.01845790 -5.5415 -1.4628 156.1116
 0 0.01713550 -5.5415 -1.4628 156.1116
 0 0.01636000 -5.5415 -1.4628 156.1116
 0 0.01798910 -5.5415 -1.4628 156.1116
 0 0.01640780 -5.5415 -1.4628 156.1116
 0 0.01693220 -5.5415 -1.4628 156.1116
 0 0.01452060 -5.5415 -1.4628 156.1116
 0 0.01859960 -5.5415 -1.4628 156.1116
 0 0.01665590 -5.5415 -1.4628 156.1116
 0 0.01484750 -5.5415 -1.4628 156.1116
 0 0.01831540 -5.5415 -1.4628 156.1116
 0 0.01585670 -5.5415 -1.4628 156.1116
 0 0.02144320 -5.5415 -1.4628 156.1116
 0 0.01232680 -5.5415 -1.4628 156.1116
 0 0.01601190 -5.5415 -1.4628 156.1116
 0 0.01691400 -5.5415 -1.4628 156.1116
 0 0.01538460 -5.5415 -1.4628 156.1116
 0 0.01647190 -5.5415 -1.4628 156.1116
 0 0.02117620 -5.5415 -1.4628 156.1116
 0 0.01348560 -5.5415 -1.4628 156.1116
 0 0.01702980 -5.5415 -1.4628 157.8920
 0 0.01708630 -5.5415 -1.4628 159.6783
 0 0.01678040 -5.5415 -1.4628 161.4327
 0 0.01536650 -5.5415 -1.4628 163.0392
 0 0.01820770 -5.5415 -1.4628 164.9428
 0 0.01543500 -5.5415 -1.4628 166.5565
 0 0.01722670 -5.5415 -1.4628 168.3575
 0 0.01651860 -5.5415 -1.4628 170.0845
 0 0.01584210 -5.5415 -1.4628 171.7407
 0 0.01612100 -5.5415 -1.4628 173.4261
 0 0.01847390 -5.5415 -1.4628 175.3575
 0 0.01490370 -5.5415 -1.4628 176.9157
 0 0.01610810 -5.5415 -1.4628 178.5997
 0 0.01680330 -5.5415 -1.4628 180.3565
 0 0.01717790 -5.5415 -1.4628 182.1524
 0 0.01629370 -5.5415 -1.4628 183.8559
 0 0.01626920 -5.5415 -1.4628 185.5568
 0 0.01720640 -5.5415 -1.4628 187.3557
 0 0.01646460 -5.5415 -1.4628 189.0770
 0 0.01768060 -5.5415 -1.4628 190.9255
 0 0.01489930 -5.5415 -1.4628 192.4832
 0 0.01649100 -5.5415 -1.4628 194.2072
 0 0.01790100 -5.5415 -1.4628 196.0788
 0 0.01741120 -5.5415 -1.4628 196.0788
 0 0.01436770 -5.5415 -1.4628 196.0788
 0 0.01801810 -5.5415 -1.4628 196.0788
 0 0.01715770 -5.5415 -1.4628 196.0788
 0 0.01473800 -5.5415 -1.4628 196.0788
 0 0.01795420 -5.5415 -1.4628 196.0788
 0 0.01715050 -5.5415 -1.4628 194.2857
 0 0.01749920 -5.5415 -1.4628 192.4562
 0 0.01577580 -5.5415 -1.4628 190.8069
 0 0.01596160 -5.5415 -1.4628 189.1381
 0 0.01693330 -5.5415 -1.4628 187.3678
 0 0.02084110 -5.5415 -1.4628 185.1889
 0 0.01677040 -5.5415 -1.4628 183.4356
 0 0.01662800 -5.5415 -1.4628 181.6972
 0 0.01701160 -5.5415 -1.4628 179.9187
 0 0.01647590 -5.5415 -1.4628 178.1962
 0 0.01615410 -5.5415 -1.4628 176.5073
 0 0.01630830 -5.5415 -1.4628 174.8023
 0 0.01918920 -5.5415 -1.4628 172.7961
 0 0.01730580 -5.5415 -1.4628 170.9868
 0 0.01467610 -5.5415 -1.4628 169.4525
 0 0.01922810 -5.5415 -1.4628 169.4525
 0 0.01467660 -5.5415 -1.4628 169.4525
 0 0.00852950 -5.5415 -1.4628 169.4525
 0 0.01979400 -5.5415 -1.4628 169.4525
 0 0.01622170 -5.5415 -1.4628 169.4525
 0 0.01635380 -5.5415 -1.4628 169.4525
 0 0.01708190 -5.5415 -1.4628 169.4525
 0 0.01498490 -5.5415 -1.4628 169.4525
 0 0.01600970 -5.5415 -1.4628 169.4525
 0 0.01947000 -5.5415 -1.4628 169.4525
 0 0.01603710 -5.5415 -1.4628 169.4525
 0 0.01654620 -5.5566 -1.3815 169.4525
 0 0.01693470 -5.5721 -1.2982 169.4525
 0 0.01678640 -5.5875 -1.2157 169.4525
 0 0.01654650 -5.6027 -1.1344 169.4525
 0 0.01632820 -5.6176 -1.0541 169.4525
 0 0.01633860 -5.6326 -0.9738 169.4525
 0 0.01709260 -5.6482 -0.8898 169.4525
 0 0.01741710 -5.6641 -0.8042 169.4525
 0 0.01588970 -5.6787 -0.7261 169.4525
 0 0.01885460 -5.6959 -0.6334 169.4525
